"GeneID","OPC_I1","OPC_I2","OPC_I3","OPC_I4","OPC_I5","OPC_I6","OPC_I7","OPC_I8","OPC_I9","OPC_I10","MO_I1","MO_I2","MO_I3","MO_I4","MO_I5","MO_I6","MO_I7"
"A1BG",2,2,8,4,3,3,5,6,4,3,42,49,34,88,49,24,41
"A1BG-AS1",17,8,14,12,11,18,18,9,25,3,343,351,312,595,385,126,275
"A1CF",0,0,0,1,3,1,2,0,0,0,0,0,0,0,1,0,0
"A2M",39,36,60,60,105,106,176,37,140,45,84,54,90,154,50,161,142
"A2M-AS1",126,140,260,234,186,227,218,271,321,225,244,173,195,335,216,44,123
"A2ML1",19,32,95,32,14,24,32,87,111,51,3,1,26,7,4,16,5
"A2ML1-AS1",9,2,25,3,4,2,7,5,15,6,2,0,6,5,3,1,1
"A2ML1-AS2",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4
"A2MP1",0,6,7,4,0,10,10,6,18,4,20,15,10,64,21,18,40
"A3GALT2",8,4,11,11,9,2,2,12,12,4,8,2,6,20,15,8,7
"A4GALT",0,0,2,4,0,5,1,0,0,0,1,0,0,1,0,0,1
"A4GNT",0,1,2,4,3,0,1,3,1,0,1,2,0,6,1,0,0
"AAAS",397,353,484,469,371,469,459,508,722,384,727,816,753,1300,884,302,617
"AACS",499,474,867,654,535,573,824,594,1418,650,768,599,1013,1491,1073,908,1344
"AACSP1",0,1,0,4,1,1,1,3,4,4,5,1,5,2,1,4,7
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AADACL2-AS1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"AADACP1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AADAT",262,421,602,642,628,660,661,730,1190,875,307,331,475,532,428,247,492
"AAED1",7,14,34,30,18,39,47,15,54,13,46,40,58,107,60,17,50
"AAGAB",135,306,523,448,354,530,689,453,801,470,442,386,607,810,444,220,473
