"","id","altName","node_attributes"
"1","A1BG",NA,"turquoise"
"2","A1CF",NA,"turquoise"
"3","A2MP1",NA,"turquoise"
"4","AAAS",NA,"turquoise"
"5","AADAT",NA,"turquoise"
"6","AAGAB",NA,"turquoise"
"7","AAMDC",NA,"turquoise"
"8","AARD",NA,"turquoise"
"9","AARS",NA,"turquoise"
"10","AASS",NA,"turquoise"
"11","AATF",NA,"turquoise"
"12","AATK",NA,"turquoise"
"13","ABAT",NA,"turquoise"
"14","ABC12-49244600F4.4",NA,"turquoise"
"15","ABC7-42404400C24.1",NA,"turquoise"
"16","ABCA1",NA,"turquoise"
"17","ABCA10",NA,"turquoise"
"18","ABCA11P",NA,"turquoise"
"19","ABCA13",NA,"turquoise"
"20","ABCA2",NA,"turquoise"
"21","ABCA6",NA,"turquoise"
"22","ABCA7",NA,"turquoise"
"23","ABCA8",NA,"turquoise"
"24","ABCB5",NA,"turquoise"
"25","ABCB6",NA,"turquoise"
"26","ABCB8",NA,"turquoise"
"27","ABCB9",NA,"turquoise"
"28","ABCC1",NA,"turquoise"
"29","ABCC4",NA,"turquoise"
"30","ABCC5",NA,"turquoise"
"31","ABCC6",NA,"turquoise"
"32","ABCC8",NA,"turquoise"
"33","ABCD1",NA,"turquoise"
"34","ABCD2",NA,"turquoise"
"35","ABCG1",NA,"turquoise"
"36","ABCG4",NA,"turquoise"
"37","ABHD1",NA,"turquoise"
"38","ABHD15",NA,"turquoise"
"39","ABHD17A",NA,"turquoise"
"40","ABHD17B",NA,"turquoise"
"41","ABHD17C",NA,"turquoise"
"42","ABHD2",NA,"turquoise"
"43","ABHD6",NA,"turquoise"
"44","ABHD8",NA,"turquoise"
"45","ABI1",NA,"turquoise"
"46","ABL1",NA,"turquoise"
"47","ABL2",NA,"turquoise"
"48","ABLIM1",NA,"turquoise"
"49","ABLIM2",NA,"turquoise"
"50","ABLIM3",NA,"turquoise"
"51","ABO",NA,"turquoise"
"52","ABR",NA,"turquoise"
"53","ABTB1",NA,"turquoise"
"54","AC000367.1",NA,"turquoise"
"55","AC002400.1",NA,"turquoise"
"56","AC003080.4",NA,"turquoise"
"57","AC004824.1",NA,"turquoise"
"58","AC004893.11",NA,"turquoise"
"59","AC004945.1",NA,"turquoise"
"60","AC004980.7",NA,"turquoise"
"61","AC005042.2",NA,"turquoise"
"62","AC005154.7",NA,"turquoise"
"63","AC005752.10",NA,"turquoise"
