"","id","altName","node_attributes"
"1","A1BG",NA,"turquoise"
"2","A1CF",NA,"turquoise"
"3","AADAT",NA,"turquoise"
"4","AAED1",NA,"turquoise"
"5","AAMDC",NA,"turquoise"
"6","AARD",NA,"turquoise"
"7","AATF",NA,"turquoise"
"8","AATK",NA,"turquoise"
"9","ABAT",NA,"turquoise"
"10","ABC7-42404400C24.1",NA,"turquoise"
"11","ABCA1",NA,"turquoise"
"12","ABCA11P",NA,"turquoise"
"13","ABCA2",NA,"turquoise"
"14","ABCA5",NA,"turquoise"
"15","ABCA6",NA,"turquoise"
"16","ABCA7",NA,"turquoise"
"17","ABCA8",NA,"turquoise"
"18","ABCB6",NA,"turquoise"
"19","ABCB8",NA,"turquoise"
"20","ABCB9",NA,"turquoise"
"21","ABCC4",NA,"turquoise"
"22","ABCC8",NA,"turquoise"
"23","ABCD2",NA,"turquoise"
"24","ABCD4",NA,"turquoise"
"25","ABCG1",NA,"turquoise"
"26","ABCG4",NA,"turquoise"
"27","ABHD14B",NA,"turquoise"
"28","ABHD15",NA,"turquoise"
"29","ABHD17A",NA,"turquoise"
"30","ABHD17B",NA,"turquoise"
"31","ABHD17C",NA,"turquoise"
"32","ABHD2",NA,"turquoise"
"33","ABHD6",NA,"turquoise"
"34","ABHD8",NA,"turquoise"
"35","ABI1",NA,"turquoise"
"36","ABL2",NA,"turquoise"
"37","ABLIM1",NA,"turquoise"
"38","ABLIM2",NA,"turquoise"
"39","ABLIM3",NA,"turquoise"
"40","ABR",NA,"turquoise"
"41","ABTB1",NA,"turquoise"
"42","ABTB2",NA,"turquoise"
"43","AC002400.1",NA,"turquoise"
"44","AC003003.5",NA,"turquoise"
"45","AC003080.4",NA,"turquoise"
"46","AC004824.1",NA,"turquoise"
"47","AC004893.11",NA,"turquoise"
"48","AC004945.1",NA,"turquoise"
"49","AC005042.2",NA,"turquoise"
"50","AC005077.14",NA,"turquoise"
"51","AC005822.1",NA,"turquoise"
"52","AC006355.3",NA,"turquoise"
"53","AC007325.2",NA,"turquoise"
"54","AC010740.1",NA,"turquoise"
"55","AC011043.1",NA,"turquoise"
"56","AC011295.1",NA,"turquoise"
"57","AC012358.4",NA,"turquoise"
"58","AC013461.1",NA,"turquoise"
"59","AC020594.5",NA,"turquoise"
"60","AC024560.3",NA,"turquoise"
"61","AC025335.1",NA,"turquoise"
"62","AC063976.7",NA,"turquoise"
