"","id","altName","node_attributes"
"1","AADAT",NA,"turquoise"
"2","AAED1",NA,"turquoise"
"3","AAMDC",NA,"turquoise"
"4","AARS",NA,"turquoise"
"5","AATK",NA,"turquoise"
"6","ABAT",NA,"turquoise"
"7","ABCA1",NA,"turquoise"
"8","ABCA11P",NA,"turquoise"
"9","ABCA17P",NA,"turquoise"
"10","ABCA2",NA,"turquoise"
"11","ABCA3",NA,"turquoise"
"12","ABCA6",NA,"turquoise"
"13","ABCA7",NA,"turquoise"
"14","ABCA8",NA,"turquoise"
"15","ABCA9",NA,"turquoise"
"16","ABCB6",NA,"turquoise"
"17","ABCB8",NA,"turquoise"
"18","ABCB9",NA,"turquoise"
"19","ABCC1",NA,"turquoise"
"20","ABCC2",NA,"turquoise"
"21","ABCC5",NA,"turquoise"
"22","ABCC8",NA,"turquoise"
"23","ABCD2",NA,"turquoise"
"24","ABCF2",NA,"turquoise"
"25","ABHD12B",NA,"turquoise"
"26","ABHD15",NA,"turquoise"
"27","ABHD17A",NA,"turquoise"
"28","ABHD17B",NA,"turquoise"
"29","ABHD17C",NA,"turquoise"
"30","ABHD2",NA,"turquoise"
"31","ABHD6",NA,"turquoise"
"32","ABHD8",NA,"turquoise"
"33","ABI1",NA,"turquoise"
"34","ABI2",NA,"turquoise"
"35","ABL1",NA,"turquoise"
"36","ABL2",NA,"turquoise"
"37","ABLIM1",NA,"turquoise"
"38","ABLIM3",NA,"turquoise"
"39","ABR",NA,"turquoise"
"40","ABRAXAS1",NA,"turquoise"
"41","ABRAXAS2",NA,"turquoise"
"42","ABT1",NA,"turquoise"
"43","AC000120.1",NA,"turquoise"
"44","AC002094.4",NA,"turquoise"
"45","AC002310.1",NA,"turquoise"
"46","AC003080.1",NA,"turquoise"
"47","AC003659.1",NA,"turquoise"
"48","AC003681.1",NA,"turquoise"
"49","AC003991.1",NA,"turquoise"
"50","AC004223.2",NA,"turquoise"
"51","AC004466.1",NA,"turquoise"
"52","AC004477.1",NA,"turquoise"
"53","AC004494.1",NA,"turquoise"
"54","AC004520.1",NA,"turquoise"
"55","AC004540.1",NA,"turquoise"
"56","AC004584.3",NA,"turquoise"
"57","AC004801.2",NA,"turquoise"
"58","AC004812.2",NA,"turquoise"
"59","AC004918.1",NA,"turquoise"
"60","AC004918.3",NA,"turquoise"
"61","AC004925.1",NA,"turquoise"
"62","AC005070.3",NA,"turquoise"
"63","AC005154.3",NA,"turquoise"
"64","AC005224.1",NA,"turquoise"
"65","AC005261.1",NA,"turquoise"
"66","AC005277.1",NA,"turquoise"
"67","AC005329.1",NA,"turquoise"
"68","AC005332.5",NA,"turquoise"
"69","AC005332.7",NA,"turquoise"
"70","AC005518.1",NA,"turquoise"
"71","AC005618.1",NA,"turquoise"
"72","AC005632.2",NA,"turquoise"
"73","AC005674.2",NA,"turquoise"
"74","AC005696.1",NA,"turquoise"
"75","AC005702.2",NA,"turquoise"
"76","AC005821.1",NA,"turquoise"
"77","AC005822.1",NA,"turquoise"
"78","AC005839.1",NA,"turquoise"
"79","AC005899.7",NA,"turquoise"
"80","AC005906.2",NA,"turquoise"
"81","AC006001.2",NA,"turquoise"
"82","AC006020.1",NA,"turquoise"
"83","AC006042.3",NA,"turquoise"
"84","AC006058.1",NA,"turquoise"
"85","AC006059.1",NA,"turquoise"
"86","AC006213.2",NA,"turquoise"
"87","AC006213.6",NA,"turquoise"
"88","AC006262.1",NA,"turquoise"
"89","AC006270.2",NA,"turquoise"
"90","AC006330.1",NA,"turquoise"
"91","AC006453.2",NA,"turquoise"
"92","AC006504.1",NA,"turquoise"
"93","AC006504.5",NA,"turquoise"
"94","AC006946.2",NA,"turquoise"
"95","AC006946.3",NA,"turquoise"
"96","AC007036.2",NA,"turquoise"
"97","AC007256.1",NA,"turquoise"
"98","AC007325.4",NA,"turquoise"
"99","AC007376.2",NA,"turquoise"
"100","AC007546.2",NA,"turquoise"
"101","AC007566.1",NA,"turquoise"
"102","AC007608.3",NA,"turquoise"
"103","AC007608.4",NA,"turquoise"
"104","AC007637.1",NA,"turquoise"
"105","AC007787.2",NA,"turquoise"
"106","AC007834.2",NA,"turquoise"
"107","AC007878.1",NA,"turquoise"
"108","AC007906.1",NA,"turquoise"
"109","AC008013.1",NA,"turquoise"
"110","AC008038.1",NA,"turquoise"
"111","AC008115.3",NA,"turquoise"
"112","AC008124.1",NA,"turquoise"
"113","AC008147.2",NA,"turquoise"
"114","AC008147.4",NA,"turquoise"
"115","AC008438.1",NA,"turquoise"
"116","AC008507.1",NA,"turquoise"
"117","AC008537.3",NA,"turquoise"
"118","AC008667.1",NA,"turquoise"
"119","AC008669.1",NA,"turquoise"
"120","AC008737.1",NA,"turquoise"
"121","AC008764.8",NA,"turquoise"
"122","AC008771.1",NA,"turquoise"
"123","AC009041.2",NA,"turquoise"
"124","AC009065.5",NA,"turquoise"
"125","AC009078.3",NA,"turquoise"
"126","AC009088.1",NA,"turquoise"
"127","AC009090.1",NA,"turquoise"
"128","AC009090.3",NA,"turquoise"
"129","AC009090.5",NA,"turquoise"
"130","AC009093.10",NA,"turquoise"
"131","AC009093.2",NA,"turquoise"
"132","AC009102.1",NA,"turquoise"
"133","AC009113.1",NA,"turquoise"
"134","AC009126.1",NA,"turquoise"
"135","AC009163.7",NA,"turquoise"
"136","AC009166.2",NA,"turquoise"
"137","AC009404.1",NA,"turquoise"
"138","AC009690.1",NA,"turquoise"
"139","AC009812.1",NA,"turquoise"
"140","AC009948.5",NA,"turquoise"
"141","AC009951.1",NA,"turquoise"
"142","AC009961.1",NA,"turquoise"
"143","AC010201.2",NA,"turquoise"
"144","AC010327.4",NA,"turquoise"
"145","AC010487.1",NA,"turquoise"
"146","AC010503.1",NA,"turquoise"
"147","AC010533.1",NA,"turquoise"
"148","AC010615.1",NA,"turquoise"
"149","AC010618.3",NA,"turquoise"
"150","AC010809.2",NA,"turquoise"
"151","AC010900.1",NA,"turquoise"
"152","AC010969.2",NA,"turquoise"
"153","AC010999.3",NA,"turquoise"
"154","AC011043.1",NA,"turquoise"
"155","AC011416.3",NA,"turquoise"
"156","AC011468.1",NA,"turquoise"
"157","AC011468.5",NA,"turquoise"
"158","AC011474.1",NA,"turquoise"
"159","AC011474.2",NA,"turquoise"
"160","AC011474.4",NA,"turquoise"
"161","AC011477.1",NA,"turquoise"
"162","AC011479.3",NA,"turquoise"
"163","AC011504.1",NA,"turquoise"
"164","AC011603.2",NA,"turquoise"
"165","AC011700.1",NA,"turquoise"
"166","AC011815.2",NA,"turquoise"
"167","AC012074.1",NA,"turquoise"
"168","AC012313.1",NA,"turquoise"
"169","AC012313.4",NA,"turquoise"
"170","AC012313.5",NA,"turquoise"
"171","AC012313.8",NA,"turquoise"
"172","AC012360.3",NA,"turquoise"
"173","AC012368.1",NA,"turquoise"
"174","AC012442.1",NA,"turquoise"
"175","AC012511.1",NA,"turquoise"
"176","AC012636.1",NA,"turquoise"
"177","AC013460.1",NA,"turquoise"
"178","AC013731.1",NA,"turquoise"
"179","AC015712.6",NA,"turquoise"
"180","AC015799.1",NA,"turquoise"
"181","AC015813.1",NA,"turquoise"
"182","AC015871.3",NA,"turquoise"
"183","AC015982.1",NA,"turquoise"
"184","AC016026.1",NA,"turquoise"
"185","AC016027.2",NA,"turquoise"
"186","AC016394.1",NA,"turquoise"
"187","AC016397.1",NA,"turquoise"
"188","AC016397.2",NA,"turquoise"
"189","AC016582.3",NA,"turquoise"
"190","AC016590.1",NA,"turquoise"
"191","AC016597.1",NA,"turquoise"
"192","AC016705.2",NA,"turquoise"
"193","AC016831.7",NA,"turquoise"
"194","AC016876.1",NA,"turquoise"
"195","AC017007.2",NA,"turquoise"
"196","AC017104.4",NA,"turquoise"
"197","AC017104.5",NA,"turquoise"
"198","AC018638.6",NA,"turquoise"
"199","AC018638.7",NA,"turquoise"
"200","AC018797.2",NA,"turquoise"
"201","AC018845.3",NA,"turquoise"
"202","AC018992.1",NA,"turquoise"
"203","AC019080.1",NA,"turquoise"
"204","AC019205.1",NA,"turquoise"
"205","AC019227.1",NA,"turquoise"
"206","AC020612.1",NA,"turquoise"
"207","AC020910.5",NA,"turquoise"
"208","AC020915.1",NA,"turquoise"
"209","AC020915.2",NA,"turquoise"
"210","AC020928.1",NA,"turquoise"
"211","AC020928.2",NA,"turquoise"
"212","AC020978.7",NA,"turquoise"
"213","AC021078.1",NA,"turquoise"
"214","AC021752.1",NA,"turquoise"
"215","AC022075.1",NA,"turquoise"
"216","AC022150.4",NA,"turquoise"
"217","AC022182.1",NA,"turquoise"
"218","AC022211.2",NA,"turquoise"
"219","AC022400.7",NA,"turquoise"
"220","AC022447.2",NA,"turquoise"
"221","AC022467.1",NA,"turquoise"
"222","AC022469.1",NA,"turquoise"
"223","AC022762.2",NA,"turquoise"
"224","AC022916.1",NA,"turquoise"
"225","AC023024.2",NA,"turquoise"
"226","AC023301.1",NA,"turquoise"
"227","AC023389.2",NA,"turquoise"
"228","AC023481.1",NA,"turquoise"
"229","AC023632.2",NA,"turquoise"
"230","AC023632.6",NA,"turquoise"
"231","AC024257.3",NA,"turquoise"
"232","AC024361.1",NA,"turquoise"
"233","AC024568.1",NA,"turquoise"
"234","AC025031.4",NA,"turquoise"
"235","AC025031.5",NA,"turquoise"
"236","AC025034.1",NA,"turquoise"
"237","AC025048.2",NA,"turquoise"
"238","AC025171.4",NA,"turquoise"
"239","AC025181.2",NA,"turquoise"
"240","AC025580.3",NA,"turquoise"
"241","AC025588.1",NA,"turquoise"
"242","AC026191.1",NA,"turquoise"
"243","AC026271.3",NA,"turquoise"
"244","AC026356.1",NA,"turquoise"
"245","AC026401.3",NA,"turquoise"
"246","AC026471.2",NA,"turquoise"
"247","AC026471.4",NA,"turquoise"
"248","AC026770.1",NA,"turquoise"
"249","AC026951.1",NA,"turquoise"
"250","AC027020.2",NA,"turquoise"
"251","AC027031.2",NA,"turquoise"
"252","AC027097.1",NA,"turquoise"
"253","AC027290.1",NA,"turquoise"
"254","AC027559.1",NA,"turquoise"
"255","AC027644.1",NA,"turquoise"
"256","AC027644.3",NA,"turquoise"
"257","AC027682.7",NA,"turquoise"
"258","AC027763.2",NA,"turquoise"
"259","AC027796.1",NA,"turquoise"
"260","AC027796.2",NA,"turquoise"
"261","AC027796.4",NA,"turquoise"
"262","AC034102.5",NA,"turquoise"
"263","AC036214.2",NA,"turquoise"
"264","AC037459.2",NA,"turquoise"
"265","AC037479.1",NA,"turquoise"
"266","AC040977.1",NA,"turquoise"
"267","AC046168.1",NA,"turquoise"
"268","AC048351.1",NA,"turquoise"
"269","AC048382.6",NA,"turquoise"
"270","AC051619.6",NA,"turquoise"
"271","AC053513.1",NA,"turquoise"
"272","AC053527.1",NA,"turquoise"
"273","AC058823.1",NA,"turquoise"
"274","AC060780.1",NA,"turquoise"
"275","AC061709.2",NA,"turquoise"
"276","AC062029.1",NA,"turquoise"
"277","AC063947.2",NA,"turquoise"
"278","AC064807.1",NA,"turquoise"
"279","AC067940.1",NA,"turquoise"
"280","AC068473.5",NA,"turquoise"
"281","AC068580.4",NA,"turquoise"
"282","AC068768.1",NA,"turquoise"
"283","AC068888.1",NA,"turquoise"
"284","AC068898.2",NA,"turquoise"
"285","AC069281.2",NA,"turquoise"
"286","AC073107.1",NA,"turquoise"
"287","AC073335.2",NA,"turquoise"
"288","AC073343.1",NA,"turquoise"
"289","AC073343.2",NA,"turquoise"
"290","AC073389.2",NA,"turquoise"
"291","AC073869.1",NA,"turquoise"
"292","AC073957.3",NA,"turquoise"
"293","AC074032.1",NA,"turquoise"
"294","AC074194.1",NA,"turquoise"
"295","AC074194.2",NA,"turquoise"
"296","AC074367.1",NA,"turquoise"
"297","AC078881.1",NA,"turquoise"
"298","AC079193.2",NA,"turquoise"
"299","AC079322.1",NA,"turquoise"
"300","AC079416.1",NA,"turquoise"
"301","AC079416.2",NA,"turquoise"
"302","AC079781.3",NA,"turquoise"
"303","AC079781.5",NA,"turquoise"
"304","AC079922.2",NA,"turquoise"
"305","AC080013.1",NA,"turquoise"
"306","AC080100.1",NA,"turquoise"
"307","AC080128.1",NA,"turquoise"
"308","AC084125.2",NA,"turquoise"
"309","AC084824.4",NA,"turquoise"
"310","AC087289.2",NA,"turquoise"
"311","AC087481.3",NA,"turquoise"
"312","AC087521.3",NA,"turquoise"
"313","AC087564.1",NA,"turquoise"
"314","AC087741.1",NA,"turquoise"
"315","AC090181.2",NA,"turquoise"
"316","AC090181.3",NA,"turquoise"
"317","AC090220.1",NA,"turquoise"
"318","AC090241.1",NA,"turquoise"
"319","AC090241.3",NA,"turquoise"
"320","AC090517.4",NA,"turquoise"
"321","AC090616.6",NA,"turquoise"
"322","AC090739.1",NA,"turquoise"
"323","AC090772.3",NA,"turquoise"
"324","AC090971.3",NA,"turquoise"
"325","AC091133.1",NA,"turquoise"
"326","AC091305.1",NA,"turquoise"
"327","AC091729.3",NA,"turquoise"
"328","AC092070.2",NA,"turquoise"
"329","AC092111.1",NA,"turquoise"
"330","AC092111.2",NA,"turquoise"
"331","AC092117.1",NA,"turquoise"
"332","AC092119.2",NA,"turquoise"
"333","AC092135.1",NA,"turquoise"
"334","AC092139.3",NA,"turquoise"
"335","AC092171.4",NA,"turquoise"
"336","AC092171.5",NA,"turquoise"
"337","AC092295.2",NA,"turquoise"
"338","AC092378.1",NA,"turquoise"
"339","AC092471.1",NA,"turquoise"
"340","AC092620.2",NA,"turquoise"
"341","AC092691.1",NA,"turquoise"
"342","AC092691.2",NA,"turquoise"
"343","AC092718.3",NA,"turquoise"
"344","AC092718.7",NA,"turquoise"
"345","AC092802.1",NA,"turquoise"
"346","AC092802.3",NA,"turquoise"
"347","AC092803.2",NA,"turquoise"
"348","AC092821.3",NA,"turquoise"
"349","AC092828.1",NA,"turquoise"
"350","AC092910.3",NA,"turquoise"
"351","AC092958.1",NA,"turquoise"
"352","AC092967.1",NA,"turquoise"
"353","AC092999.1",NA,"turquoise"
"354","AC093157.1",NA,"turquoise"
"355","AC093249.6",NA,"turquoise"
"356","AC093330.1",NA,"turquoise"
"357","AC093330.2",NA,"turquoise"
"358","AC093503.2",NA,"turquoise"
"359","AC093503.3",NA,"turquoise"
"360","AC093752.1",NA,"turquoise"
"361","AC093827.4",NA,"turquoise"
"362","AC097359.1",NA,"turquoise"
"363","AC097376.1",NA,"turquoise"
"364","AC097376.2",NA,"turquoise"
"365","AC097461.1",NA,"turquoise"
"366","AC097534.2",NA,"turquoise"
"367","AC097634.1",NA,"turquoise"
"368","AC098679.2",NA,"turquoise"
"369","AC099336.1",NA,"turquoise"
"370","AC099343.3",NA,"turquoise"
"371","AC099689.1",NA,"turquoise"
"372","AC099778.1",NA,"turquoise"
"373","AC099804.1",NA,"turquoise"
"374","AC099811.1",NA,"turquoise"
"375","AC100774.1",NA,"turquoise"
"376","AC100786.1",NA,"turquoise"
"377","AC100810.1",NA,"turquoise"
"378","AC102953.2",NA,"turquoise"
"379","AC104118.1",NA,"turquoise"
"380","AC104162.1",NA,"turquoise"
"381","AC104162.2",NA,"turquoise"
"382","AC104564.5",NA,"turquoise"
"383","AC104581.4",NA,"turquoise"
"384","AC104596.1",NA,"turquoise"
"385","AC104763.1",NA,"turquoise"
"386","AC104791.2",NA,"turquoise"
"387","AC104836.1",NA,"turquoise"
"388","AC104964.1",NA,"turquoise"
"389","AC104964.3",NA,"turquoise"
"390","AC104964.4",NA,"turquoise"
"391","AC104986.1",NA,"turquoise"
"392","AC105114.1",NA,"turquoise"
"393","AC105271.1",NA,"turquoise"
"394","AC105383.1",NA,"turquoise"
"395","AC105760.1",NA,"turquoise"
"396","AC106791.1",NA,"turquoise"
"397","AC106820.4",NA,"turquoise"
"398","AC106869.1",NA,"turquoise"
"399","AC106881.1",NA,"turquoise"
"400","AC107027.3",NA,"turquoise"
"401","AC107068.1",NA,"turquoise"
"402","AC107214.1",NA,"turquoise"
"403","AC107375.1",NA,"turquoise"
"404","AC107398.3",NA,"turquoise"
"405","AC107884.1",NA,"turquoise"
"406","AC108047.1",NA,"turquoise"
"407","AC108062.1",NA,"turquoise"
"408","AC108471.2",NA,"turquoise"
"409","AC108688.1",NA,"turquoise"
"410","AC108866.1",NA,"turquoise"
"411","AC110079.1",NA,"turquoise"
"412","AC110285.1",NA,"turquoise"
"413","AC110285.2",NA,"turquoise"
"414","AC110994.2",NA,"turquoise"
"415","AC112512.1",NA,"turquoise"
"416","AC114495.2",NA,"turquoise"
"417","AC114811.2",NA,"turquoise"
"418","AC116158.1",NA,"turquoise"
"419","AC116565.1",NA,"turquoise"
"420","AC116565.2",NA,"turquoise"
"421","AC116913.1",NA,"turquoise"
"422","AC117503.2",NA,"turquoise"
"423","AC117947.1",NA,"turquoise"
"424","AC118549.1",NA,"turquoise"
"425","AC119674.1",NA,"turquoise"
"426","AC120036.4",NA,"turquoise"
"427","AC120053.1",NA,"turquoise"
"428","AC120114.2",NA,"turquoise"
"429","AC122718.2",NA,"turquoise"
"430","AC124283.3",NA,"turquoise"
"431","AC124312.4",NA,"turquoise"
"432","AC124319.2",NA,"turquoise"
"433","AC125612.1",NA,"turquoise"
"434","AC125613.1",NA,"turquoise"
"435","AC126118.1",NA,"turquoise"
"436","AC126474.2",NA,"turquoise"
"437","AC126773.4",NA,"turquoise"
"438","AC127024.5",NA,"turquoise"
"439","AC127502.1",NA,"turquoise"
"440","AC129502.1",NA,"turquoise"
"441","AC130650.2",NA,"turquoise"
"442","AC131210.1",NA,"turquoise"
"443","AC131212.2",NA,"turquoise"
"444","AC131392.1",NA,"turquoise"
"445","AC132872.1",NA,"turquoise"
"446","AC133473.1",NA,"turquoise"
"447","AC133552.2",NA,"turquoise"
"448","AC134349.1",NA,"turquoise"
"449","AC135050.3",NA,"turquoise"
"450","AC135507.1",NA,"turquoise"
"451","AC136352.4",NA,"turquoise"
"452","AC138207.8",NA,"turquoise"
"453","AC138409.2",NA,"turquoise"
"454","AC138627.1",NA,"turquoise"
"455","AC138866.1",NA,"turquoise"
"456","AC138866.2",NA,"turquoise"
"457","AC138932.5",NA,"turquoise"
"458","AC139100.2",NA,"turquoise"
"459","AC139256.2",NA,"turquoise"
"460","AC139713.2",NA,"turquoise"
"461","AC139769.1",NA,"turquoise"
"462","AC139792.2",NA,"turquoise"
"463","AC139792.3",NA,"turquoise"
"464","AC139795.1",NA,"turquoise"
"465","AC139887.2",NA,"turquoise"
"466","AC140134.1",NA,"turquoise"
"467","AC144652.1",NA,"turquoise"
"468","AC145138.1",NA,"turquoise"
"469","AC145422.1",NA,"turquoise"
"470","AC145423.3",NA,"turquoise"
"471","AC147651.1",NA,"turquoise"
"472","AC215219.1",NA,"turquoise"
"473","AC239809.3",NA,"turquoise"
"474","AC239868.1",NA,"turquoise"
"475","AC239868.3",NA,"turquoise"
"476","AC241585.2",NA,"turquoise"
"477","AC243964.3",NA,"turquoise"
"478","AC244021.1",NA,"turquoise"
"479","AC244197.3",NA,"turquoise"
"480","AC244517.12",NA,"turquoise"
"481","AC244669.2",NA,"turquoise"
"482","AC245100.4",NA,"turquoise"
"483","AC245140.2",NA,"turquoise"
"484","AC245407.2",NA,"turquoise"
"485","AC245884.9",NA,"turquoise"
"486","ACAD11",NA,"turquoise"
"487","ACADM",NA,"turquoise"
"488","ACADSB",NA,"turquoise"
"489","ACAP3",NA,"turquoise"
"490","ACAT2",NA,"turquoise"
"491","ACHE",NA,"turquoise"
"492","ACO1",NA,"turquoise"
"493","ACO2",NA,"turquoise"
"494","ACOT11",NA,"turquoise"
"495","ACOT13",NA,"turquoise"
"496","ACOT2",NA,"turquoise"
"497","ACOT9",NA,"turquoise"
"498","ACOX1",NA,"turquoise"
"499","ACP6",NA,"turquoise"
"500","ACSBG1",NA,"turquoise"
"501","ACSL1",NA,"turquoise"
"502","ACSL4",NA,"turquoise"
"503","ACSL6",NA,"turquoise"
"504","ACSS2",NA,"turquoise"
"505","ACTBP7",NA,"turquoise"
"506","ACTG1P17",NA,"turquoise"
"507","ACTL6A",NA,"turquoise"
"508","ACTL6B",NA,"turquoise"
