"","id","altName","node_attributes"
"1","AAAS",NA,"turquoise"
"2","AADAT",NA,"turquoise"
"3","AAMDC",NA,"turquoise"
"4","AARSD1",NA,"turquoise"
"5","AASS",NA,"turquoise"
"6","AATK",NA,"turquoise"
"7","ABAT",NA,"turquoise"
"8","ABCA1",NA,"turquoise"
"9","ABCA10",NA,"turquoise"
"10","ABCA11P",NA,"turquoise"
"11","ABCA17P",NA,"turquoise"
"12","ABCA2",NA,"turquoise"
"13","ABCA3",NA,"turquoise"
"14","ABCA5",NA,"turquoise"
"15","ABCA6",NA,"turquoise"
"16","ABCA7",NA,"turquoise"
"17","ABCB6",NA,"turquoise"
"18","ABCB8",NA,"turquoise"
"19","ABCB9",NA,"turquoise"
"20","ABCC4",NA,"turquoise"
"21","ABCC8",NA,"turquoise"
"22","ABCD1",NA,"turquoise"
"23","ABCD2",NA,"turquoise"
"24","ABCG4",NA,"turquoise"
"25","ABHD17A",NA,"turquoise"
"26","ABHD17B",NA,"turquoise"
"27","ABHD17C",NA,"turquoise"
"28","ABHD2",NA,"turquoise"
"29","ABHD6",NA,"turquoise"
"30","ABHD8",NA,"turquoise"
"31","ABI1",NA,"turquoise"
"32","ABL1",NA,"turquoise"
"33","ABL2",NA,"turquoise"
"34","ABLIM1",NA,"turquoise"
"35","ABLIM2",NA,"turquoise"
"36","ABLIM3",NA,"turquoise"
"37","ABR",NA,"turquoise"
"38","ABRAXAS1",NA,"turquoise"
"39","ABT1",NA,"turquoise"
"40","ABTB1",NA,"turquoise"
"41","ABTB2",NA,"turquoise"
"42","AC000068.1",NA,"turquoise"
"43","AC000120.1",NA,"turquoise"
"44","AC002094.4",NA,"turquoise"
"45","AC002310.1",NA,"turquoise"
"46","AC003080.1",NA,"turquoise"
"47","AC003659.1",NA,"turquoise"
"48","AC003681.1",NA,"turquoise"
"49","AC003991.1",NA,"turquoise"
"50","AC004158.1",NA,"turquoise"
"51","AC004466.1",NA,"turquoise"
"52","AC004520.1",NA,"turquoise"
"53","AC004584.3",NA,"turquoise"
"54","AC004803.1",NA,"turquoise"
"55","AC004832.5",NA,"turquoise"
"56","AC004854.2",NA,"turquoise"
"57","AC004918.1",NA,"turquoise"
"58","AC004918.3",NA,"turquoise"
"59","AC004951.2",NA,"turquoise"
"60","AC004967.1",NA,"turquoise"
"61","AC004982.1",NA,"turquoise"
"62","AC005042.1",NA,"turquoise"
"63","AC005070.3",NA,"turquoise"
"64","AC005162.3",NA,"turquoise"
"65","AC005277.1",NA,"turquoise"
"66","AC005329.1",NA,"turquoise"
"67","AC005332.3",NA,"turquoise"
"68","AC005498.3",NA,"turquoise"
"69","AC005532.1",NA,"turquoise"
"70","AC005618.1",NA,"turquoise"
"71","AC005632.2",NA,"turquoise"
"72","AC005674.2",NA,"turquoise"
"73","AC005702.2",NA,"turquoise"
"74","AC005822.1",NA,"turquoise"
"75","AC005899.5",NA,"turquoise"
"76","AC005906.2",NA,"turquoise"
"77","AC006001.2",NA,"turquoise"
"78","AC006059.1",NA,"turquoise"
"79","AC006213.4",NA,"turquoise"
"80","AC006270.2",NA,"turquoise"
"81","AC006518.1",NA,"turquoise"
"82","AC006978.1",NA,"turquoise"
"83","AC007012.2",NA,"turquoise"
"84","AC007036.2",NA,"turquoise"
"85","AC007364.1",NA,"turquoise"
"86","AC007376.2",NA,"turquoise"
"87","AC007383.2",NA,"turquoise"
"88","AC007495.1",NA,"turquoise"
"89","AC007546.2",NA,"turquoise"
"90","AC007608.3",NA,"turquoise"
"91","AC007686.3",NA,"turquoise"
"92","AC007787.2",NA,"turquoise"
"93","AC007878.1",NA,"turquoise"
"94","AC007906.1",NA,"turquoise"
"95","AC007938.3",NA,"turquoise"
"96","AC008147.2",NA,"turquoise"
"97","AC008667.1",NA,"turquoise"
"98","AC008764.8",NA,"turquoise"
"99","AC008771.1",NA,"turquoise"
"100","AC009041.2",NA,"turquoise"
"101","AC009061.2",NA,"turquoise"
