baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,21.841652077517,3.42751360425371,0.316125178608961,10.8422670390752,2.17025320629622e-27,2.41437987668486e-26
A1BG-AS1,160.713310692285,5.24785646571184,0.242664061245647,21.6260143293302,1.02244978707905e-103,7.36076644156438e-102
A2M-AS1,215.886989877347,-0.57220070446214,0.181012650980801,-3.16110891344732,0.00157169718590664,0.00380243506627629
A2ML1,20.9556591413904,-3.50830021344586,0.556872033443797,-6.30001149770424,2.97623566263852e-10,1.44423140145627e-09
A2MP1,14.3721715856341,1.26339619605542,0.35771764467814,3.53182521145182,0.000412702045997541,0.00109478880272321
AAAS,613.806445257098,0.481535912970556,0.123248480080313,3.90703327665193,9.34362896595632e-05,0.000268812447517509
AAED1,45.3899303073886,0.717572647373251,0.242906517796771,2.95411030499236,0.00313571903912075,0.00722002302488224
AAMDC,103.861988073583,0.691275269287533,0.138188996750258,5.00239010010935,5.66238629869653e-07,2.08512172526109e-06
AARS,2622.33196859081,1.11034198259807,0.0926485189715807,11.9844547427537,4.28655489019633e-33,5.70931910503309e-32
AARSD1,104.604594565021,-0.461383829296316,0.181645434381178,-2.54002436597505,0.0110844746266325,0.0229619118530965
AASDH,737.566633115731,-0.43365163100537,0.113837350374626,-3.80939673646891,0.000139306272575249,0.000392550240964004
AATF,910.788903658958,1.39491612770486,0.275473808228578,5.0636978400045,4.1120122156648e-07,1.53520934670857e-06
AATK,13149.1127661226,3.85681424499578,0.132178055844333,29.1789300452261,3.58953898112422e-187,1.92376498664569e-184
AB015752.1,37.3876832224619,2.5980040383777,0.279970963563849,9.27954815494716,1.70198788875934e-20,1.43485440889064e-19
ABALON,26.7570425247288,2.60220892094862,0.324686418213895,8.01452963528138,1.10559301274272e-15,7.44797336038412e-15
ABAT,1898.07344132918,-2.19162487499072,0.102235452164259,-21.437034107009,6.03386726347802e-102,4.2354988416647e-100
ABCA1,1954.41327967632,-1.54991784591091,0.242082744113039,-6.40243009302299,1.52923154139556e-10,7.57192752070388e-10
ABCA10,257.186136969608,-0.489911815202145,0.199542510002404,-2.45517516641564,0.0140815953367395,0.0285145127113874
ABCA11P,62.9398614798854,-1.36866351019307,0.164376891561287,-8.32637420742789,8.33560281898726e-17,5.94891764067398e-16
ABCA12,8.90794061999843,-2.07766811691342,0.390830780988361,-5.31602989830859,1.06055730869241e-07,4.1920694182499e-07
ABCA13,10.4703560980385,-3.19781756835187,0.59911599956675,-5.33755995610929,9.42057558565407e-08,3.74427679898792e-07
ABCA17P,122.003918041559,0.548917989041804,0.150708851753268,3.64224119987631,0.000270274647978437,0.000734037420716213
ABCA2,49902.5376681094,4.09704316700953,0.17069629707201,24.0019451932291,2.65372865522343e-127,3.56974080936111e-125
ABCA3,2187.95531707153,-0.607304280845402,0.131423792780791,-4.62096145603072,3.81965741522071e-06,1.29393912880016e-05
ABCA6,513.966368177628,2.63681210941131,0.330341513953203,7.98207914547742,1.43888714226293e-15,9.62794004585126e-15
ABCA7,129.089438210606,2.49601345989754,0.21536821914396,11.589516177543,4.65755978970849e-31,5.81574884392446e-30
ABCA8,7460.5442644771,5.95909003710393,0.509375944049166,11.6988053847489,1.29260342907365e-31,1.64134870926073e-30
ABCA9,110.332315774511,1.82612183300311,0.350813294043462,5.20539518886326,1.93584186290964e-07,7.46735572481218e-07
ABCB10,503.390063886601,0.236358957716651,0.0967431348130572,2.44316000482497,0.0145592807474476,0.0293866305091355
ABCB4,15.1725394863146,-4.37307833677627,0.578220389178392,-7.56299573418726,3.93890526301787e-14,2.43443524255053e-13
ABCB6,168.079906139267,-0.925758086889602,0.144706552245959,-6.39748561845414,1.57956352383221e-10,7.8062621221708e-10
ABCB8,1431.30713824663,0.899917782963243,0.147917181192364,6.08393004591479,1.17271787117221e-09,5.44719303924316e-09
ABCB9,302.650773043151,1.16563130626287,0.154679961124894,7.53576156721226,4.85492968365618e-14,2.98148137211654e-13
ABCC1,309.875730109755,-1.09459937407177,0.248606350427428,-4.40294212995696,1.06792659381354e-05,3.43830204191097e-05
ABCC11,20.4605347272303,0.868719272063619,0.316382131063663,2.74579120237613,0.00603651686333819,0.0132012118685802
ABCC2,74.007041470362,1.16730436999999,0.168077155699281,6.94505071283155,3.78324395110771e-12,2.07838348137326e-11
ABCC3,6.22651965019352,-2.39480629307541,0.562688875794145,-4.25600433222627,2.08112675339141e-05,6.46908154129144e-05
ABCC4,179.624345977773,-2.74280158797923,0.575018920950222,-4.76993275881555,1.84287424967641e-06,6.44261815759727e-06
ABCC5,3548.12917906849,-0.368642129529999,0.13011682114804,-2.8331627400471,0.00460899148214032,0.0102853924919356
ABCC6P1,32.4002900011905,-5.60609159134982,0.430668887692629,-13.0171734052703,9.77217543595505e-39,1.53893531445703e-37
ABCC8,1502.06518802294,-3.78276183889728,0.283100812106712,-13.3618897478521,1.00967884424628e-40,1.69437358335642e-39
ABCD1,92.2346713799643,0.579914521141626,0.19544750258306,2.96711144157587,0.00300611978527825,0.00694007715761606
ABCD2,92.8281134029467,-2.2585208130027,0.273610720100254,-8.25450410778919,1.52534233293409e-16,1.07384609110064e-15
ABCF1,1524.87136394261,0.949013732884786,0.255836445339999,3.70945481056686,0.000207706023947281,0.000571881773836417
ABCF2,735.483024332063,0.843339523719181,0.135065862824204,6.24391319971677,4.26756878479922e-10,2.04906417022129e-09
