"GeneID","OPC_A1","OPC_A2","OPC_A3","OPC_A4","OPC_A5","OPC_A6","OPC_A7","OPC_A8","OPC_A9","OPC_A10","MO_A1","MO_A2","MO_A3","MO_A4","MO_A5","MO_A6","MO_A7","MO_A8","MO_A9","MO_A10"
"A1BG",6,2,2,10,2,4,3,4,2,2,42,67,22,43,54,30,39,31,32,69
"A1BG-AS1",7,16,10,16,9,7,5,3,3,5,252,520,177,273,461,281,361,436,289,300
"A1CF",0,0,1,1,1,3,0,0,2,0,0,1,6,0,2,1,1,0,0,3
"A2M",71,10,37,26,57,49,29,46,27,66,57,52,83,21,72,38,65,26,24,51
"A2M-AS1",279,179,330,161,319,258,239,307,152,349,160,242,48,249,304,162,126,214,120,301
"A2ML1",62,19,76,4,24,37,47,55,26,35,1,10,9,0,1,1,10,1,0,1
"A2ML1-AS1",6,9,6,6,10,3,6,3,0,0,6,0,6,0,5,3,1,2,2,1
"A2ML1-AS2",1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0
"A2MP1",9,2,9,11,2,16,4,15,7,8,31,21,23,13,19,27,22,12,8,27
"A3GALT2",4,6,4,4,5,4,16,5,4,0,3,19,0,6,4,5,11,14,4,5
"A4GALT",0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,1,0,0,1
"A4GNT",1,0,0,1,3,3,2,2,0,4,0,0,0,0,6,1,0,1,0,0
"AAAS",632,469,766,357,486,449,531,535,299,544,644,930,554,612,1086,712,738,864,582,836
"AACS",771,611,829,1736,579,589,760,739,327,475,568,674,699,891,1426,744,1167,1147,606,596
"AACSP1",2,0,0,0,1,3,4,2,2,0,0,2,0,6,3,1,4,4,1,4
"AADAC",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,1,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1
"AADACP1",0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AADAT",817,331,733,562,774,686,595,669,384,851,323,564,466,593,632,558,612,556,376,976
"AAED1",26,14,29,52,55,27,42,22,29,43,34,96,29,44,80,50,33,72,61,112
"AAGAB",470,276,473,627,500,366,401,388,205,504,315,468,314,617,749,400,377,501,318,687
"AAK1",4320,2233,4763,5793,3936,4175,4068,4469,2398,4094,2617,4115,3632,5146,5424,3504,5332,4726,3010,3722
"AAMDC",66,74,118,66,62,79,94,96,47,86,95,135,62,202,216,123,110,149,131,171
"AAMP",662,817,789,873,608,619,730,747,345,820,454,861,1086,937,1122,775,1123,639,474,1019
"AANAT",3,0,5,0,2,2,1,0,2,2,1,1,1,0,0,1,0,0,0,0
"AAR2",266,204,254,175,225,259,344,338,201,343,172,447,98,252,347,184,199,307,194,427
"AARD",1,0,2,3,3,9,10,1,2,3,0,1,3,0,6,2,11,3,0,2
"AARS",1695,1644,1762,1950,1545,1558,1744,1833,866,1823,2194,4674,2970,4891,5044,3099,4054,3723,2689,5304
"AARS2",529,314,582,437,375,415,525,489,226,417,353,634,335,512,840,418,856,573,410,570
"AARSD1",142,66,162,194,91,150,145,122,70,72,83,97,73,131,160,95,86,79,71,59
"AARSP1",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AASDH",778,595,899,729,1224,841,774,907,478,1215,552,691,321,749,1009,621,661,753,532,896
"AASDHPPT",868,793,795,768,1350,1035,881,1071,561,1498,790,1013,468,958,1499,821,707,1059,854,1690
"AASS",2739,1638,3055,4674,2403,1983,2078,2468,1373,2896,2182,2785,1581,4771,4130,2314,3084,3271,2123,3698
"AATBC",2,0,0,4,4,3,0,2,5,5,2,13,1,13,4,1,4,12,0,1
"AATF",476,631,749,808,408,351,506,386,240,397,652,657,2383,1641,1618,997,2493,1280,754,928
"AATK",2032,1176,1736,2210,2175,1912,1579,1530,844,1793,19319,41263,18708,22806,37717,17871,36903,26600,16896,26250
"AB015752.1",15,9,4,10,12,9,13,8,6,19,45,66,27,24,92,77,104,90,56,113
"ABALON",5,5,7,17,2,11,10,3,8,6,20,92,46,70,93,25,43,58,23,35
"ABAT",2963,2721,3914,2454,3003,3341,4207,3494,1885,2735,479,774,520,906,1116,582,874,811,575,692
"ABBA01000935.2",0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"ABBA01006766.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA1",3644,2082,4020,1938,2260,2884,2786,2968,1793,4645,983,1081,750,1648,739,589,1276,361,709,2479
"ABCA10",330,248,235,313,446,336,267,332,138,347,153,164,125,573,462,201,193,185,119,224
"ABCA11P",88,39,122,132,106,91,85,105,43,113,32,36,22,45,54,21,34,53,26,59
"ABCA12",17,5,26,19,31,8,13,11,7,10,2,3,2,3,7,9,2,2,2,5
"ABCA13",23,14,8,3,26,12,5,32,7,61,0,1,0,0,0,4,6,3,3,5
"ABCA17P",93,62,133,99,94,93,121,121,47,140,114,152,51,272,275,139,177,169,107,156
"ABCA2",5299,2691,4447,10288,7174,7024,4274,4989,3010,6109,74552,168399,58253,93292,150816,72116,113746,110725,72685,105889
"ABCA3",2559,1865,2343,2239,2805,2652,2800,3145,1650,4115,1369,2900,1040,1438,2862,1412,2015,2060,1433,2217
"ABCA4",0,3,0,0,1,5,4,2,2,4,0,2,1,1,3,0,6,2,2,3
"ABCA5",3408,2708,2861,6068,4900,3255,3041,3375,1770,4811,2798,2754,1731,6815,5982,2610,3088,3308,2315,4579
"ABCA6",151,93,110,103,309,179,104,134,79,147,82,874,567,382,2571,760,1655,867,1201,920
"ABCA7",89,35,33,45,21,35,26,43,16,45,215,293,108,334,247,233,307,274,155,178
"ABCA8",126,97,22,583,733,385,18,41,115,234,10978,16314,10716,13445,26817,12392,13518,15996,13872,24091
"ABCA9",60,33,40,43,113,38,26,52,31,42,29,121,99,103,635,77,376,225,200,111
"ABCA9-AS1",0,0,0,0,0,3,0,0,0,0,1,2,0,0,1,0,2,4,2,0
"ABCB1",11,11,1,1,7,2,3,9,0,15,8,2,3,5,5,4,6,3,5,4
"ABCB10",491,285,488,376,598,452,551,562,255,564,390,643,354,700,738,448,654,673,485,781
"ABCB10P1",0,0,0,0,0,1,0,1,1,1,1,0,0,0,2,1,4,0,0,3
"ABCB10P3",0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
"ABCB10P4",1,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"ABCB11",1,0,0,0,3,0,1,5,0,3,0,1,0,0,3,1,5,1,2,4
"ABCB4",42,49,20,3,23,26,16,60,7,37,2,0,1,5,0,1,1,1,0,4
"ABCB5",2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,3,0,2,0,0
"ABCB6",213,137,306,401,192,205,242,207,120,190,76,151,104,163,154,106,142,109,109,115
"ABCB7",546,466,797,728,778,635,578,686,399,839,386,526,465,724,1052,576,502,645,494,868
"ABCB8",1213,610,1449,711,831,1165,1380,1023,645,915,1647,2768,1090,1614,2906,1796,2592,2272,1615,1587
