"","chromosome","start","end","Infant_OPC1","Infant_OPC2","Infant_OPC3","Infant_OPC4","Infant_OPC5"
"1","chr1",816781,819368,192,226,454,438,160
"2","chr1",826698,827763,142,174,246,536,196
"3","chr1",903788,904656,37,89,136,195,40
"4","chr1",998812,1002351,466,420,965,2179,875
"5","chr1",1004743,1005756,89,174,203,355,119
"6","chr1",1012682,1015756,462,732,1162,1617,742
"7","chr1",1019090,1021645,127,253,233,668,158
"8","chr1",1023432,1025617,130,270,317,435,123
"9","chr1",1030306,1033404,310,676,779,1171,284
"10","chr1",1115910,1116078,28,18,40,82,12
"11","chr1",1156422,1159432,684,783,732,1317,527
"12","chr1",1184444,1186017,171,480,420,547,242
"13","chr1",1230839,1232466,262,300,251,508,166
"14","chr1",1273306,1276031,256,479,527,867,278
"15","chr1",1290138,1309830,2595,4805,5609,9693,2818
"16","chr1",1324439,1324980,27,30,50,99,23
"17","chr1",1345906,1349985,331,522,580,1155,370
"18","chr1",1374864,1375985,110,180,190,467,87
"19","chr1",1399113,1400002,86,131,103,239,77
"20","chr1",1406773,1407558,68,111,74,194,61
"21","chr1",1415166,1416184,60,248,180,274,80
"22","chr1",1419428,1423368,108,302,493,597,192
"23","chr1",1425178,1428657,252,303,294,471,200
"24","chr1",1429200,1437133,1233,2085,2332,3095,1151
"25","chr1",1470998,1471947,72,84,143,302,57
"26","chr1",1504680,1506169,133,257,343,583,156
"27","chr1",1511263,1512331,186,233,265,460,126
"28","chr1",1538794,1541069,185,288,343,500,193
"29","chr1",1549969,1552233,249,464,597,805,307
"30","chr1",1567265,1568377,92,108,80,184,72
"31","chr1",1574123,1575627,424,393,434,905,359
"32","chr1",1615072,1616158,132,173,192,510,113
"33","chr1",1658784,1659582,196,160,154,455,178
"34","chr1",1678249,1679515,77,225,303,373,149
"35","chr1",1692309,1693343,170,150,166,674,144
"36","chr1",1724125,1724891,140,168,164,298,120
"37","chr1",1745600,1746607,238,488,252,156,222
"38","chr1",1777920,1778411,66,85,91,135,71
"39","chr1",1782545,1783247,50,80,86,106,49
"40","chr1",1787054,1790026,396,750,827,1116,353
"41","chr1",1820636,1821969,101,167,156,206,48
"42","chr1",1826580,1828125,198,229,349,402,155
"43","chr1",1832900,1834529,137,150,222,217,98
"44","chr1",1840244,1843562,483,649,652,918,354
"45","chr1",1845735,1848212,469,618,848,998,406
"46","chr1",1848758,1849235,35,48,62,71,18
"47","chr1",1853106,1854643,174,234,252,368,119
"48","chr1",1857173,1859799,292,330,332,478,158
"49","chr1",1860934,1861891,128,161,177,222,123
"50","chr1",1889413,1892052,484,499,494,1004,380
"51","chr1",1905909,1906638,48,102,125,129,44
"52","chr1",1908371,1909385,38,103,103,209,54
"53","chr1",2059793,2060417,48,44,90,121,60
"54","chr1",2073360,2075411,266,384,358,768,258
"55","chr1",2086951,2089293,134,66,58,133,38
"56","chr1",2102737,2104696,197,426,338,445,150
"57","chr1",2132208,2138763,528,928,2428,3965,957
"58","chr1",2157753,2158872,197,184,366,563,216
"59","chr1",2189250,2191536,387,699,686,1338,436
"60","chr1",2193885,2195652,156,392,333,732,190
"61","chr1",2212246,2213493,188,204,314,430,171
"62","chr1",2227421,2227652,45,94,97,164,66
"63","chr1",2228470,2233090,690,1027,1054,1465,588
"64","chr1",2237516,2239027,180,298,406,538,211
"65","chr1",2247550,2249763,170,238,300,359,192
"66","chr1",2255658,2258434,488,693,657,1010,400
"67","chr1",2259367,2260167,71,106,116,161,56
"68","chr1",2266758,2268120,106,148,216,308,152
"69","chr1",2270211,2271790,136,153,226,321,138
"70","chr1",2278219,2280068,250,271,334,434,190
"71","chr1",2290229,2291811,224,291,379,573,255
"72","chr1",2298795,2299990,76,115,198,217,113
"73","chr1",2302430,2303606,64,142,128,135,48
"74","chr1",2311108,2315605,245,405,388,527,249
"75","chr1",2391062,2392167,91,95,152,365,120
"76","chr1",2412128,2413079,41,72,91,274,71
"77","chr1",2414207,2414902,24,86,122,164,44
"78","chr1",2424346,2428467,1121,1488,1725,2611,1035
"79","chr1",2438091,2438491,30,29,61,92,44
"80","chr1",2445925,2447192,131,98,94,204,68
"81","chr1",2449565,2450476,92,62,79,162,38
"82","chr1",2459684,2460519,64,94,91,216,68
"83","chr1",2493408,2494163,47,126,85,200,62
"84","chr1",2525862,2534085,1392,3049,3626,5482,1796
"85","chr1",2542539,2549345,665,1729,2321,3834,1080
"86","chr1",2556068,2556933,54,132,154,167,76
"87","chr1",2585375,2587260,175,226,247,497,114
"88","chr1",2643014,2643166,29,48,34,61,28
"89","chr1",2778075,2778480,37,59,62,86,49
"90","chr1",2817848,2818573,43,79,190,229,79
"91","chr1",2948857,2950298,97,194,144,213,109
"92","chr1",2966405,2970739,811,1230,1653,2099,865
"93","chr1",2973617,2974194,24,80,100,116,57
"94","chr1",2981514,2986058,1326,1402,2346,2604,1251
"95","chr1",2987298,2988830,247,325,454,640,292
"96","chr1",3003570,3004307,45,126,129,184,48
"97","chr1",3011174,3014012,1067,1417,1484,2072,1028
"98","chr1",3030708,3031614,86,61,65,107,28
"99","chr1",3069824,3070443,87,86,105,125,66
"100","chr1",3125098,3126773,266,415,372,487,223
"101","chr1",3156659,3157628,39,42,51,50,22
"102","chr1",3161386,3162047,45,90,113,100,60
"103","chr1",3170427,3171748,191,419,358,531,186
"104","chr1",3303183,3305150,356,572,704,925,341
"105","chr1",3312933,3315050,318,555,828,1003,360
"106","chr1",3333559,3336087,238,839,648,819,320
"107","chr1",3344957,3351347,746,2034,1889,2290,844
"108","chr1",3359361,3361779,267,636,489,649,282
"109","chr1",3365880,3367160,312,612,577,702,321
"110","chr1",3369270,3370215,44,111,122,147,46
"111","chr1",3409958,3410683,93,128,210,238,73
"112","chr1",3423998,3425103,73,169,423,467,145
"113","chr1",3431262,3431813,54,68,163,144,42
"114","chr1",3437942,3445779,2273,3528,4862,6559,2703
"115","chr1",3528954,3529852,59,116,149,282,106
"116","chr1",3538362,3538890,14,24,42,66,15
"117","chr1",3539538,3540717,104,178,243,282,117
"118","chr1",3556985,3557937,34,92,112,155,60
"119","chr1",3573043,3577846,577,1047,855,2004,854
"120","chr1",3598016,3598579,27,87,65,89,62
"121","chr1",3618817,3619093,12,23,40,87,8
"122","chr1",3624446,3624744,26,49,27,85,20
"123","chr1",3711703,3717864,918,1951,2478,3221,1260
"124","chr1",3727242,3727871,14,33,45,68,36
"125","chr1",3730126,3733615,282,801,930,1213,440
"126","chr1",3734634,3736311,36,96,144,137,69
"127","chr1",3745672,3747650,210,444,404,668,191
"128","chr1",3752845,3755770,415,624,1088,1234,542
"129","chr1",3770659,3775617,187,435,728,816,255
"130","chr1",3796093,3797161,127,250,208,394,89
"131","chr1",3856630,3857930,182,200,185,281,131
"132","chr1",3892593,3893292,118,144,171,140,74
"133","chr1",3899639,3901672,573,606,747,1220,418
"134","chr1",3924239,3925336,114,135,120,175,94
"135","chr1",4082954,4083744,129,134,160,203,133
"136","chr1",4654876,4659643,120,206,134,172,89
"137","chr1",4673449,4673984,25,25,40,24,16
"138","chr1",4680089,4682570,359,196,319,436,122
"139","chr1",4699704,4700553,30,7,44,29,18
"140","chr1",4708402,4710175,73,38,80,63,38
"141","chr1",5388964,5390002,32,90,45,83,42
"142","chr1",5452563,5452957,4,8,12,7,4
"143","chr1",5477511,5478590,42,121,120,133,72
"144","chr1",5490513,5496172,340,1425,733,932,364
"145","chr1",5502823,5503292,9,28,24,18,16
"146","chr1",5535212,5536320,70,154,160,225,125
"147","chr1",5861183,5862386,54,55,80,111,62
"148","chr1",5885245,5885874,21,62,84,92,42
"149","chr1",5887989,5890820,93,210,242,310,118
"150","chr1",5895570,5897546,173,203,305,357,178
"151","chr1",5914915,5916867,100,227,273,350,116
"152","chr1",5928797,5929727,177,143,225,352,133
"153","chr1",5971805,5972570,28,57,113,121,41
"154","chr1",5973439,5974168,54,101,135,166,54
"155","chr1",5984796,5985976,65,100,97,220,65
"156","chr1",5991554,5993008,186,142,230,434,122
"157","chr1",6065370,6065521,12,33,27,33,9
"158","chr1",6199218,6200370,172,207,231,405,199
"159","chr1",6235626,6235926,56,63,41,72,34
"160","chr1",6261918,6263250,61,95,144,188,74
"161","chr1",6270054,6274121,420,434,725,986,352
"162","chr1",6275866,6276963,110,114,145,189,101
"163","chr1",6290845,6292619,448,527,687,851,355
"164","chr1",6328810,6331151,393,782,719,970,436
"165","chr1",6335435,6336977,130,229,221,333,179
"166","chr1",6347411,6352543,856,1204,1781,2236,1018
"167","chr1",6353711,6355137,198,280,337,493,165
"168","chr1",6357708,6360471,405,597,743,1014,415
"169","chr1",6367327,6367941,56,107,90,136,69
"170","chr1",6384329,6386612,471,775,813,1100,404
"171","chr1",6391686,6394535,565,559,638,1092,419
"172","chr1",6402617,6403457,216,174,309,375,171
"173","chr1",6429603,6430612,78,201,249,351,116
"174","chr1",6436734,6437659,66,102,185,183,77
"175","chr1",6495024,6495259,13,16,35,37,16
"176","chr1",6502096,6502989,68,110,128,187,71
"177","chr1",6506680,6510093,444,792,953,1136,502
"178","chr1",6511224,6512023,84,64,150,222,93
"179","chr1",6541744,6542459,28,55,87,230,23
"180","chr1",6554172,6555659,192,210,233,390,132
"181","chr1",6577764,6578527,86,147,185,198,85
"182","chr1",6579548,6580494,58,106,126,239,85
"183","chr1",6586829,6587970,84,153,167,142,66
"184","chr1",6600478,6604697,470,833,771,1225,386
"185","chr1",6612688,6614982,248,319,296,690,203
"186","chr1",6624680,6625913,256,329,310,483,227
"187","chr1",6701606,6702113,60,84,69,122,42
"188","chr1",6734352,6736177,151,464,388,343,176
"189","chr1",6783965,6785008,274,266,273,654,224
"190","chr1",6785488,6786728,86,146,129,360,98
"191","chr1",6791194,6791932,80,56,144,154,53
"192","chr1",6868784,6870089,238,177,324,372,182
"193","chr1",6881141,6881621,43,66,103,145,64
"194","chr1",6911916,6913049,78,85,123,176,63
"195","chr1",6913973,6916904,661,836,1210,1371,674
"196","chr1",6922137,6925328,370,482,714,1008,379
"197","chr1",6934254,6936644,538,604,858,1164,549
"198","chr1",6953212,6955889,191,405,564,747,245
"199","chr1",6958691,6959331,55,72,78,135,74
"200","chr1",6964312,6966373,338,384,535,865,254
"201","chr1",6975094,6976201,224,200,267,433,136
"202","chr1",6984379,6986773,753,652,844,1408,511
"203","chr1",6987686,6988973,102,121,224,438,148
"204","chr1",6990885,6991551,42,45,56,98,19
"205","chr1",7036362,7038135,148,258,317,518,132
"206","chr1",7041882,7043296,103,296,311,374,133
"207","chr1",7050090,7053128,62,115,428,179,48
"208","chr1",7069621,7070787,136,180,239,290,130
"209","chr1",7164384,7165153,121,109,115,158,76
"210","chr1",7229663,7230695,93,119,271,248,115
"211","chr1",7299093,7300355,139,140,355,396,215
"212","chr1",7312101,7314645,461,630,865,1082,411
"213","chr1",7317386,7318542,45,111,179,146,75
"214","chr1",7334201,7335052,116,130,238,233,139
"215","chr1",7388395,7389758,142,161,320,325,159
"216","chr1",7471790,7472212,45,63,82,83,38
"217","chr1",7477794,7478741,101,146,204,321,96
"218","chr1",7491398,7491995,51,53,51,70,25
"219","chr1",7500846,7501920,126,147,209,217,131
"220","chr1",7515787,7516792,119,78,164,182,86
"221","chr1",7537260,7537704,31,80,85,78,48
"222","chr1",7581837,7582264,14,71,93,79,36
"223","chr1",7667317,7671183,1945,2661,3118,4148,1838
"224","chr1",7678908,7681933,739,1075,1095,1756,658
"225","chr1",7689434,7690021,53,89,63,108,79
"226","chr1",7702404,7706556,303,397,489,931,299
"227","chr1",7725183,7728997,565,622,965,1109,500
"228","chr1",7752063,7754803,293,609,755,991,327
"229","chr1",7770676,7772066,123,188,170,353,101
"230","chr1",7782840,7785158,144,283,433,717,189
"231","chr1",7886310,7886891,34,121,145,72,38
"232","chr1",7942235,7942682,51,66,98,64,52
"233","chr1",7953606,7954946,200,318,377,691,207
"234","chr1",7960804,7962635,566,524,605,927,403
"235","chr1",8004057,8005470,65,122,146,153,84
"236","chr1",8014823,8015716,36,66,87,103,34
"237","chr1",8017522,8018329,68,93,117,135,45
"238","chr1",8025218,8027123,285,415,295,549,256
"239","chr1",8301834,8302887,100,110,154,236,89
"240","chr1",8353661,8355783,141,273,330,366,160
"241","chr1",8357696,8357987,8,33,47,56,20
"242","chr1",8368592,8374938,1148,1442,1638,2034,925
"243","chr1",8378268,8380327,137,160,232,250,112
"244","chr1",8381639,8385726,493,658,1043,1058,463
"245","chr1",8386361,8388172,141,125,149,219,112
"246","chr1",8395813,8398414,268,343,505,519,263
"247","chr1",8407153,8410817,404,453,635,760,365
"248","chr1",8412436,8412922,36,49,86,68,42
"249","chr1",8416849,8417799,75,80,155,181,70
"250","chr1",8419267,8425207,1336,1659,1928,2760,1128
"251","chr1",8426647,8428680,269,343,452,581,252
"252","chr1",8437130,8441715,908,918,1626,1901,790
"253","chr1",8448724,8449684,157,153,260,259,147
"254","chr1",8455340,8456866,78,72,162,187,70
"255","chr1",8457252,8467587,2214,2598,3911,4704,2011
"256","chr1",8476133,8478055,144,140,245,268,130
"257","chr1",8483265,8483916,62,64,88,89,49
"258","chr1",8494811,8495217,61,40,92,97,41
"259","chr1",8496294,8497883,122,143,179,233,100
"260","chr1",8509753,8511035,135,176,340,319,133
"261","chr1",8516464,8519049,315,273,371,409,227
"262","chr1",8523694,8528073,722,826,1001,1337,589
"263","chr1",8551012,8553074,192,124,222,271,145
"264","chr1",8560866,8561787,57,82,119,168,38
"265","chr1",8570559,8572507,334,322,581,704,348
"266","chr1",8578421,8579223,115,86,164,208,67
"267","chr1",8589413,8590396,92,95,186,229,76
"268","chr1",8597117,8600357,523,378,813,850,387
"269","chr1",8619675,8623230,528,478,863,1047,326
"270","chr1",8628742,8632693,526,437,637,833,373
"271","chr1",8641059,8641927,121,74,175,174,94
"272","chr1",8647090,8647683,62,61,72,100,43
"273","chr1",8651163,8653279,436,409,778,918,425
"274","chr1",8660190,8661710,178,137,266,291,119
"275","chr1",8663215,8664218,50,28,59,63,15
"276","chr1",8669570,8670374,71,59,111,116,41
"277","chr1",8679155,8681520,203,178,336,508,184
"278","chr1",8686347,8687823,215,179,283,323,146
"279","chr1",8698055,8699615,161,152,302,303,116
"280","chr1",8700448,8705748,934,870,1461,1966,712
"281","chr1",8706603,8707892,121,136,260,247,113
"282","chr1",8709332,8710493,110,120,249,337,100
"283","chr1",8711981,8713141,128,72,226,227,106
"284","chr1",8717068,8719693,267,318,482,599,223
"285","chr1",8726323,8727077,52,62,72,88,24
"286","chr1",8727721,8728871,128,151,225,286,95
"287","chr1",8753768,8755656,286,158,344,404,225
"288","chr1",8812839,8819034,1802,2304,3093,4177,1367
"289","chr1",8822646,8823320,108,74,137,167,88
"290","chr1",8847492,8849563,334,449,619,787,317
"291","chr1",8863451,8864364,79,105,157,140,65
"292","chr1",8874777,8876271,69,88,135,179,96
"293","chr1",8877182,8880549,435,753,619,1194,385
"294","chr1",8884188,8887389,289,532,792,1260,423
"295","chr1",8887864,8892355,1156,1549,2629,3149,1297
"296","chr1",8914659,8916389,272,422,492,733,294
"297","chr1",8917553,8919495,145,278,321,566,165
"298","chr1",8937680,8950466,1278,1952,2404,3527,1215
"299","chr1",8954793,8955945,76,110,240,248,133
"300","chr1",8985422,8990254,480,962,925,1304,534
"301","chr1",9025205,9026081,108,214,198,292,106
"302","chr1",9068854,9071098,295,470,630,810,355
"303","chr1",9149700,9150431,40,26,62,66,64
"304","chr1",9151101,9152036,120,86,173,194,126
"305","chr1",9195513,9196987,82,253,302,390,157
"306","chr1",9234253,9235715,212,307,308,613,212
"307","chr1",9239374,9240211,59,58,118,193,60
"308","chr1",9242000,9243126,42,45,65,84,20
"309","chr1",9247715,9248807,26,24,62,77,23
"310","chr1",9252735,9254348,184,194,351,417,182
"311","chr1",9291799,9294478,240,442,413,694,235
"312","chr1",9309825,9312607,611,687,653,1112,488
"313","chr1",9317457,9318872,269,373,257,515,224
"314","chr1",9322833,9327154,734,805,1000,1318,524
"315","chr1",9340117,9340932,89,114,88,179,76
"316","chr1",9351777,9352999,198,331,304,440,165
"317","chr1",9362636,9364267,68,133,119,191,42
"318","chr1",9375805,9376282,24,47,63,92,37
"319","chr1",9384064,9389367,502,630,569,920,289
"320","chr1",9397802,9401236,204,475,388,484,278
"321","chr1",9428420,9429461,132,201,228,432,114
"322","chr1",9437328,9439279,112,347,164,234,89
"323","chr1",9440792,9442085,114,150,140,234,65
"324","chr1",9443904,9444437,19,41,23,51,23
"325","chr1",9526635,9527412,46,98,188,228,68
"326","chr1",9529083,9530314,65,134,250,308,112
"327","chr1",9531058,9533742,406,527,875,1124,418
"328","chr1",9538743,9540920,495,432,719,1205,401
"329","chr1",9542111,9542695,48,85,125,155,60
"330","chr1",9551768,9552532,103,101,172,187,95
"331","chr1",9561126,9562509,104,224,396,451,136
"332","chr1",9573218,9574309,55,173,213,270,98
"333","chr1",9588177,9594411,828,1100,1349,2119,788
"334","chr1",9606552,9607756,140,164,252,313,152
"335","chr1",9689886,9690666,36,106,117,108,58
"336","chr1",9754997,9756278,169,194,302,328,151
"337","chr1",9758522,9760117,220,229,272,363,127
"338","chr1",9765895,9767710,281,265,422,514,232
"339","chr1",9793365,9793892,42,73,66,92,50
"340","chr1",9808795,9809318,30,31,61,35,34
"341","chr1",9812126,9812640,70,82,89,92,77
"342","chr1",9822457,9826849,481,693,865,1384,463
"343","chr1",9835213,9836925,433,471,758,882,371
"344","chr1",9838909,9839619,53,53,105,95,40
"345","chr1",9842545,9847506,230,237,533,610,266
"346","chr1",9848425,9853846,807,793,1708,1872,808
"347","chr1",9863479,9864235,18,36,71,91,38
"348","chr1",9874719,9878058,377,712,911,1075,440
"349","chr1",9883326,9885418,493,623,868,976,468
"350","chr1",9886028,9886532,78,93,81,142,46
"351","chr1",9889009,9892038,393,474,776,1056,430
"352","chr1",9900097,9902581,166,245,355,468,154
"353","chr1",9908992,9911392,116,409,298,695,155
"354","chr1",9916364,9917188,76,91,166,197,99
"355","chr1",9928767,9931922,621,640,1043,1420,496
"356","chr1",9942162,9943985,299,442,548,884,296
"357","chr1",9949682,9951295,162,120,240,323,109
"358","chr1",10000710,10002129,181,235,294,403,160
"359","chr1",10032237,10034543,511,755,749,1229,373
"360","chr1",10045388,10047410,145,165,297,309,150
"361","chr1",10057202,10058685,82,84,109,163,80
"362","chr1",10059157,10060041,61,66,87,117,44
"363","chr1",10065077,10067866,255,287,253,334,124
"364","chr1",10073789,10076236,224,272,311,373,172
"365","chr1",10107767,10110200,126,88,174,182,106
"366","chr1",10126547,10129776,436,327,512,620,294
"367","chr1",10130408,10131532,46,37,71,97,34
"368","chr1",10132195,10134024,219,270,383,406,176
"369","chr1",10143298,10144888,170,103,223,172,108
"370","chr1",10155055,10155474,23,44,85,55,47
"371","chr1",10159830,10162930,547,751,972,1189,615
"372","chr1",10165475,10166677,119,235,304,367,162
"373","chr1",10177477,10182996,1678,2241,2845,2928,1546
"374","chr1",10209282,10214196,1569,2057,2094,3013,1314
"375","chr1",10216252,10216893,82,84,116,127,46
"376","chr1",10217659,10218280,81,89,88,136,64
"377","chr1",10225148,10226378,99,117,114,138,59
"378","chr1",10231916,10233226,86,255,164,178,84
"379","chr1",10236469,10237510,97,135,212,210,131
"380","chr1",10250557,10251164,81,78,122,154,77
"381","chr1",10253054,10254389,212,210,237,389,171
"382","chr1",10257454,10258896,185,198,233,264,149
"383","chr1",10271225,10271704,53,63,79,101,45
"384","chr1",10280516,10281565,92,129,199,222,122
"385","chr1",10283297,10283975,76,70,165,161,70
"386","chr1",10284763,10289492,555,892,1335,1443,603
"387","chr1",10291788,10300657,1998,3092,4479,5153,1983
"388","chr1",10301035,10302828,155,226,290,412,172
"389","chr1",10307006,10308794,204,228,378,384,181
"390","chr1",10310359,10311055,85,79,102,129,57
"391","chr1",10319849,10320419,58,50,88,58,56
"392","chr1",10323539,10324264,97,76,143,132,63
"393","chr1",10327604,10328391,83,77,124,125,61
"394","chr1",10334300,10334671,42,58,85,103,43
"395","chr1",10337154,10342150,589,458,939,1029,424
"396","chr1",10352416,10353925,121,127,185,165,98
"397","chr1",10373653,10374838,88,154,195,171,96
"398","chr1",10376372,10377491,80,105,143,138,77
"399","chr1",10379398,10381923,244,345,455,595,254
"400","chr1",10387013,10389427,334,316,489,577,227
"401","chr1",10398188,10399673,261,351,347,608,189
"402","chr1",10430050,10431171,187,194,178,294,126
"403","chr1",10472108,10472778,48,61,83,109,48
"404","chr1",10474740,10475694,132,168,253,289,106
"405","chr1",10489519,10490947,144,234,241,408,192
"406","chr1",10494289,10495641,123,174,372,395,97
"407","chr1",10594657,10595306,44,64,96,88,33
"408","chr1",10598205,10598419,32,38,46,57,36
"409","chr1",10662976,10664737,230,632,528,658,294
"410","chr1",10756746,10757471,64,112,139,179,66
"411","chr1",10781593,10783650,136,263,160,180,124
"412","chr1",10834852,10835957,82,132,96,100,65
"413","chr1",10841082,10841765,85,127,108,169,85
"414","chr1",10943386,10944914,164,337,422,606,191
"415","chr1",10960896,10961548,42,83,109,187,47
"416","chr1",10973448,10974340,52,221,241,288,102
"417","chr1",10975604,10976273,40,135,188,213,56
"418","chr1",10978312,10982561,1013,1548,1816,2786,1007
"419","chr1",11011824,11013353,304,414,401,702,304
"420","chr1",11059601,11060971,96,130,145,310,106
"421","chr1",11063159,11063402,28,53,51,62,30
"422","chr1",11068728,11069469,54,74,116,126,57
"423","chr1",11080335,11081699,78,103,217,232,105
"424","chr1",11098150,11100406,479,585,588,889,376
"425","chr1",11102924,11114738,1769,3336,4396,6106,1959
"426","chr1",11124500,11125291,67,81,106,174,47
"427","chr1",11129439,11131533,193,413,526,727,244
"428","chr1",11132039,11135611,348,496,792,1031,333
"429","chr1",11145881,11148638,263,375,608,903,296
"430","chr1",11149389,11152150,183,200,371,535,169
"431","chr1",11153227,11153515,42,40,70,89,27
"432","chr1",11156965,11159329,171,298,562,650,250
"433","chr1",11173241,11176134,229,378,962,1064,417
"434","chr1",11177555,11181487,295,601,915,1385,427
"435","chr1",11186133,11189541,334,642,1062,1213,396
"436","chr1",11193376,11194487,14,80,123,203,44
"437","chr1",11194865,11203178,1124,1969,2924,4213,1376
"438","chr1",11203798,11209701,283,460,816,1084,351
"439","chr1",11210704,11220921,1599,2472,3662,4749,1710
"440","chr1",11225630,11226652,50,93,135,199,67
"441","chr1",11230439,11232471,140,249,387,557,192
"442","chr1",11261963,11263149,116,188,200,403,97
"443","chr1",11272752,11273979,181,193,200,363,121
"444","chr1",11285826,11287348,164,414,239,355,125
"445","chr1",11311459,11312432,65,124,158,206,89
"446","chr1",11314660,11317742,354,620,737,1197,358
"447","chr1",11321741,11322479,84,156,178,261,74
"448","chr1",11354901,11356219,206,123,348,309,157
"449","chr1",11361816,11362531,70,66,158,193,68
"450","chr1",11414773,11415462,87,88,188,209,73
"451","chr1",11434672,11435527,76,78,142,176,92
"452","chr1",11458336,11459768,246,319,454,547,207
"453","chr1",11474255,11479809,624,1029,1267,1510,642
"454","chr1",11495867,11497069,119,132,200,246,126
