"","chromosome","start","end","Adult_MO1","Adult_MO2","Adult_MO3","Adult_MO4","Adult_MO5"
"1","chr1",816793,818266,166,249,129,326,106
"2","chr1",826742,827770,152,248,116,376,80
"3","chr1",1019219,1020336,185,210,94,328,101
"4","chr1",1022984,1027038,756,1432,649,1437,629
"5","chr1",1030251,1033067,793,956,452,1516,559
"6","chr1",1098703,1102340,710,953,523,1793,962
"7","chr1",1115795,1116122,88,175,34,145,57
"8","chr1",1121879,1123280,151,289,106,435,129
"9","chr1",1124398,1125550,112,211,93,317,91
"10","chr1",1152819,1154814,301,372,141,586,128
"11","chr1",1155314,1159771,2118,2940,1571,3365,1262
"12","chr1",1184882,1185967,290,490,182,490,261
"13","chr1",1208268,1209260,109,176,89,232,107
"14","chr1",1231011,1232634,258,413,186,402,137
"15","chr1",1273208,1274858,204,308,158,380,190
"16","chr1",1290755,1293253,237,465,231,465,353
"17","chr1",1297681,1301093,465,1104,420,1025,652
"18","chr1",1301466,1309084,1933,3233,1523,4119,1940
"19","chr1",1346092,1346985,92,175,69,184,73
"20","chr1",1348998,1349938,97,106,80,224,71
"21","chr1",1374838,1375983,169,249,117,360,162
"22","chr1",1398673,1400056,214,289,164,411,165
"23","chr1",1406872,1407855,83,98,56,218,67
"24","chr1",1415138,1416195,131,262,113,322,97
"25","chr1",1417591,1438645,8027,9157,6642,16528,6474
"26","chr1",1440220,1442226,284,334,204,674,198
"27","chr1",1470973,1471909,58,125,40,179,85
"28","chr1",1504680,1506187,321,617,212,719,308
"29","chr1",1511374,1512287,95,177,88,206,93
"30","chr1",1539408,1539764,43,61,49,89,14
"31","chr1",1540257,1541249,88,152,86,136,82
"32","chr1",1550227,1551452,160,326,126,404,126
"33","chr1",1566891,1568651,285,716,210,727,236
"34","chr1",1573811,1575513,324,639,308,759,204
"35","chr1",1614586,1616102,152,199,94,394,107
"36","chr1",1658791,1659606,128,232,100,247,68
"37","chr1",1678171,1679425,122,236,92,169,79
"38","chr1",1692318,1693341,148,100,88,370,200
"39","chr1",1724125,1725185,158,292,102,288,140
"40","chr1",1745626,1746611,206,430,130,190,48
"41","chr1",1777263,1778447,65,120,72,173,54
"42","chr1",1782635,1783669,114,192,69,186,63
"43","chr1",1787582,1790224,263,548,228,644,255
"44","chr1",1799459,1802327,242,399,201,732,178
"45","chr1",1805366,1808844,732,1267,695,1870,567
"46","chr1",1809330,1810829,87,246,114,258,78
"47","chr1",1812043,1818159,447,1198,533,1399,386
"48","chr1",1820526,1822135,179,361,124,443,156
