"","chromosome","start","end","Infant_MO1","Infant_MO2","Infant_MO3","Infant_MO4","Infant_MO5"
"1","chr1",816793,818266,64,104,156,224,68
"2","chr1",826742,827770,163,150,147,396,188
"3","chr1",1019219,1020336,96,222,122,428,146
"4","chr1",1022984,1027038,204,461,460,938,165
"5","chr1",1030251,1033067,238,455,516,841,208
"6","chr1",1098703,1102340,736,735,1873,1595,644
"7","chr1",1115795,1116122,43,69,85,300,100
"8","chr1",1121879,1123280,56,128,157,196,74
"9","chr1",1124398,1125550,60,55,69,132,42
"10","chr1",1152819,1154814,263,188,148,354,147
"11","chr1",1155314,1159771,2164,1773,1617,3231,1901
"12","chr1",1184882,1185967,209,248,251,499,218
"13","chr1",1208268,1209260,34,35,68,113,39
"14","chr1",1231011,1232634,339,244,198,649,262
"15","chr1",1273208,1274858,202,217,224,524,194
"16","chr1",1290755,1293253,187,168,233,666,193
"17","chr1",1297681,1301093,339,436,678,1863,590
"18","chr1",1301466,1309084,1536,1686,2349,5782,1906
"19","chr1",1346092,1346985,66,71,71,144,54
"20","chr1",1348998,1349938,86,87,88,290,95
"21","chr1",1374838,1375983,121,199,222,599,174
"22","chr1",1398673,1400056,236,212,230,592,231
"23","chr1",1406872,1407855,109,144,105,364,85
"24","chr1",1415138,1416195,26,117,94,138,76
"25","chr1",1417591,1438645,5875,8634,9758,16060,7361
"26","chr1",1440220,1442226,129,230,227,420,135
"27","chr1",1470973,1471909,80,102,92,280,101
"28","chr1",1504680,1506187,214,286,454,810,272
"29","chr1",1511374,1512287,132,145,120,298,116
"30","chr1",1539408,1539764,16,22,18,35,10
"31","chr1",1540257,1541249,33,46,38,83,12
"32","chr1",1550227,1551452,270,125,159,359,150
"33","chr1",1566891,1568651,516,262,331,704,327
"34","chr1",1573811,1575513,437,396,317,941,402
"35","chr1",1614586,1616102,176,224,149,705,153
"36","chr1",1658791,1659606,144,162,114,382,160
"37","chr1",1678171,1679425,370,106,86,279,195
"38","chr1",1692318,1693341,146,130,136,720,140
"39","chr1",1724125,1725185,182,172,122,430,182
"40","chr1",1745626,1746611,220,470,232,152,210
"41","chr1",1777263,1778447,205,144,120,271,128
"42","chr1",1782635,1783669,101,94,89,105,58
"43","chr1",1787582,1790224,290,353,287,478,170
"44","chr1",1799459,1802327,540,283,335,426,245
"45","chr1",1805366,1808844,772,792,985,1348,655
"46","chr1",1809330,1810829,204,176,145,231,137
"47","chr1",1812043,1818159,1780,1028,1057,1501,993
"48","chr1",1820526,1822135,384,247,271,396,255
"49","chr1",1826399,1830133,899,530,606,930,518
"50","chr1",1832176,1836703,1307,970,1280,1548,957
"51","chr1",1838098,1843799,1991,1938,1940,3489,1694
"52","chr1",1844332,1845090,77,112,128,151,93
"53","chr1",1845693,1849952,897,1039,1068,1470,765
"54","chr1",1851693,1854938,1290,959,961,1568,840
